2025-11-22T06:38:38.949Z -Current Memory usage: 37.47 
2025-11-22T06:38:41.954Z -Current Memory usage: 37.76 
2025-11-22T06:38:44.957Z -Current Memory usage: 37.81 
2025-11-22T06:38:47.959Z -Current Memory usage: 37.53 
2025-11-22T06:38:50.961Z -Current Memory usage: 37.39 
2025-11-22T06:38:53.974Z -Current Memory usage: 37.42 
2025-11-22T06:38:56.974Z -Current Memory usage: 37.86 
2025-11-22T06:38:59.978Z -Current Memory usage: 38.02 
2025-11-22T06:39:02.986Z -Current Memory usage: 38.16 
2025-11-22T06:39:06.000Z -Current Memory usage: 38.20 
2025-11-22T06:39:09.012Z -Current Memory usage: 38.22 
2025-11-22T06:39:12.027Z -Current Memory usage: 38.23 
2025-11-22T06:39:15.039Z -Current Memory usage: 38.22 
2025-11-22T06:39:18.043Z -Current Memory usage: 38.24 
2025-11-22T06:39:21.049Z -Current Memory usage: 38.16 
2025-11-22T06:39:24.058Z -Current Memory usage: 38.20 
2025-11-22T06:39:27.070Z -Current Memory usage: 38.21 
2025-11-22T06:39:30.079Z -Current Memory usage: 38.27 
2025-11-22T06:39:33.079Z -Current Memory usage: 38.05 
2025-11-22T06:39:36.084Z -Current Memory usage: 37.91 
2025-11-22T06:39:39.099Z -Current Memory usage: 37.00 
2025-11-22T06:39:42.111Z -Current Memory usage: 36.99 
2025-11-22T06:39:45.118Z -Current Memory usage: 37.10 
2025-11-22T06:39:48.125Z -Current Memory usage: 37.42 
2025-11-22T06:39:51.128Z -Current Memory usage: 37.66 
2025-11-22T06:39:54.139Z -Current Memory usage: 37.73 
2025-11-22T06:39:57.148Z -Current Memory usage: 37.73 
2025-11-22T06:40:00.158Z -Current Memory usage: 37.72 
2025-11-22T06:40:03.169Z -Current Memory usage: 37.78 
2025-11-22T06:40:06.174Z -Current Memory usage: 37.82 
2025-11-22T06:40:09.179Z -Current Memory usage: 37.72 
2025-11-22T06:40:12.182Z -Current Memory usage: 37.72 
2025-11-22T06:40:15.188Z -Current Memory usage: 37.77 
2025-11-22T06:40:18.193Z -Current Memory usage: 37.79 
2025-11-22T06:40:21.203Z -Current Memory usage: 37.71 
2025-11-22T06:40:24.209Z -Current Memory usage: 37.82 
2025-11-22T06:40:27.218Z -Current Memory usage: 37.78 
2025-11-22T06:40:30.223Z -Current Memory usage: 37.82 
2025-11-22T06:40:33.239Z -Current Memory usage: 37.81 
2025-11-22T06:40:36.249Z -Current Memory usage: 36.97 
2025-11-22T06:40:39.259Z -Current Memory usage: 36.91 
2025-11-22T06:40:42.259Z -Current Memory usage: 36.46 
2025-11-22T06:40:45.261Z -Current Memory usage: 36.06 
2025-11-22T06:40:48.264Z -Current Memory usage: 35.07 
2025-11-22T06:40:51.275Z -Current Memory usage: 34.59 
2025-11-22T06:40:54.280Z -Current Memory usage: 33.84 
2025-11-22T06:40:57.282Z -Current Memory usage: 33.64 
2025-11-22T06:41:00.294Z -Current Memory usage: 32.68 
2025-11-22T06:41:03.300Z -Current Memory usage: 30.75 
2025-11-22T06:41:06.308Z -Current Memory usage: 31.03 
2025-11-22T06:41:09.317Z -Current Memory usage: 30.64 
2025-11-22T06:41:12.316Z -Current Memory usage: 30.02 
2025-11-22T06:41:15.324Z -Current Memory usage: 29.74 
2025-11-22T06:41:18.328Z -Current Memory usage: 29.26 
2025-11-22T06:41:21.343Z -Current Memory usage: 29.04 
2025-11-22T06:41:24.349Z -Current Memory usage: 28.63 
2025-11-22T06:41:27.352Z -Current Memory usage: 28.82 
2025-11-22T06:41:30.361Z -Current Memory usage: 28.15 
2025-11-22T06:41:33.375Z -Current Memory usage: 27.92 
2025-11-22T06:41:36.384Z -Current Memory usage: 29.02 
2025-11-22T06:41:39.395Z -Current Memory usage: 28.58 
2025-11-22T06:41:42.408Z -Current Memory usage: 29.50 
2025-11-22T06:41:45.420Z -Current Memory usage: 29.95 
2025-11-22T06:41:48.432Z -Current Memory usage: 30.19 
2025-11-22T06:41:51.444Z -Current Memory usage: 30.49 
2025-11-22T06:41:54.459Z -Current Memory usage: 30.50 
2025-11-22T06:41:57.459Z -Current Memory usage: 30.10 
2025-11-22T06:42:00.465Z -Current Memory usage: 29.58 
2025-11-22T06:42:03.470Z -Current Memory usage: 29.94 
2025-11-22T06:42:06.486Z -Current Memory usage: 30.48 
2025-11-22T06:42:09.497Z -Current Memory usage: 30.13 
2025-11-22T06:42:12.514Z -Current Memory usage: 30.35 
2025-11-22T06:42:15.520Z -Current Memory usage: 30.62 
2025-11-22T06:42:18.535Z -Current Memory usage: 29.76 
2025-11-22T06:42:21.537Z -Current Memory usage: 29.70 
2025-11-22T06:42:24.542Z -Current Memory usage: 29.53 
2025-11-22T06:42:27.549Z -Current Memory usage: 29.81 
2025-11-22T06:42:30.559Z -Current Memory usage: 29.87 
2025-11-22T06:42:33.568Z -Current Memory usage: 29.97 
2025-11-22T06:42:36.582Z -Current Memory usage: 28.67 
2025-11-22T06:42:39.582Z -Current Memory usage: 28.41 
2025-11-22T06:42:42.592Z -Current Memory usage: 28.58 
2025-11-22T06:42:45.601Z -Current Memory usage: 28.68 
2025-11-22T06:42:48.603Z -Current Memory usage: 28.52 
2025-11-22T06:42:51.611Z -Current Memory usage: 28.82 
2025-11-22T06:42:54.615Z -Current Memory usage: 29.00 
2025-11-22T06:42:57.615Z -Current Memory usage: 29.13 
2025-11-22T06:43:00.620Z -Current Memory usage: 28.91 
2025-11-22T06:43:03.625Z -Current Memory usage: 28.54 
2025-11-22T06:43:06.640Z -Current Memory usage: 28.22 
2025-11-22T06:43:09.650Z -Current Memory usage: 28.25 
2025-11-22T06:43:12.652Z -Current Memory usage: 28.44 
2025-11-22T06:43:15.659Z -Current Memory usage: 28.13 
2025-11-22T06:43:18.670Z -Current Memory usage: 29.17 
2025-11-22T06:43:21.681Z -Current Memory usage: 29.43 
2025-11-22T06:43:24.692Z -Current Memory usage: 29.51 
